"facility_id","name","latitude","longitude","elevation_m","state","river","nid_storage_acreft","search_radius_km"
"NV10122","HOOVER",36.0163,-114.7374,"","NV","COLORADO RIVER",30237000,175
"AZ10307","GLEN CANYON",36.9379,-111.4842,"","AZ","COLORADO RIVER",29875000,175
"WA00262","GRAND COULEE",47.9566,-118.9805,"","WA","COLUMBIA RIVER",9562000,175
"CA10186","SHASTA",40.7186,-122.4192,"","CA","SACRAMENTO RIVER",4661860,175
"UT10121","FLAMING GORGE",40.9149,-109.4219,"","UT","GREEN RIVER",4003100,175
"MT00565","HUNGRY HORSE",48.3413,-114.0126,"","MT","SOUTH FORK FLATHEAD RIVER",3588000,175
"AZ10317","THEODORE ROOSEVELT",33.6715,-111.1615,"","AZ","SALT RIVER",3432408,175
"NM00129","ELEPHANT BUTTE",33.1541,-107.1919,"","NM","RIO GRANDE RIVER",2593255,175
"CA10196","TRINITY",40.802,-122.762,"","CA","TRINITY RIVER",2447650,175
"TX00023","SANFORD",35.7142,-101.5525,"","TX","CANADIAN RIVER",2434220,175
"CA10246","NEW MELONES",37.948,-120.525,"","CA","STANISLAUS RV",2400000,175
"CA10183","B. F. SISK",37.058,-121.075,"","CA","SAN LUIS CREEK",2041000,175
"NM00120","NAVAJO",36.8015,-107.6117,"","NM","SAN JUAN RIVER",1986600,175
"CA10170","MONTICELLO",38.513,-122.103,"","CA","PUTAH CREEK",1602000,175
"AZ10309","DAVIS BOR",35.1959,-114.57,"","AZ","COLORADO RIVER",1592300,175
"WY01299","BOYSEN",43.4167,-108.1777,"","WY","WIND RIVER",1473118,175
"MT00579","TIBER",48.3219,-111.0969,"","MT","MARIAS RIVER",1424478,175
"WA00261","DRY FALLS DAM & POWERPLANT",47.6198,-119.3044,"","WA","UPPER GRAND COULEE RIVER",1275000,175
"WA00266","NORTH",47.9403,-119.0177,"","WA","UPPER GRAND COULEE RIVER",1275000,175
"OR00582","OWYHEE",43.642,-117.2427,"","OR","OWYHEE RIVER",1200000,175
"KS00021","GLEN ELDER",39.4964,-98.3156,"","KS","SOLOMAN RIVER",1128740,175
"WY01295","PATHFINDER DIKE",42.3833,-106.75,"","WY","NORTH PLATTE RIVER OFFSTREAM",1128087,175
"UT10135","BOR SOLDIER CREEK",40.1416,-111.1399,"","UT","STRAWBERRY RIVER",1127000,175
"WY01486","GLENDO DIKE NO. 2",42.4722,-104.9919,"","WY","NORTH PLATTE RIVER OFFSTREAM",1124000,175
