"facility_id","name","latitude","longitude","elevation_m","state","river","nid_storage_acreft","drainage_area_mi2","coord_drift_km","operational_status","nid_data_updated","region_method"
"MI00650","SOO COMPENSATING WORKS",46.50422236,-84.34961423,184,"MI","St Mary S",277540000,181000,0.670366915756384,"Under Remediation",1767892658000,"cluster"
"NV10122","HOOVER",36.0163,-114.7374,351,"NV","Colorado River",30237000,167800,0,NA,1761134400000,"cluster"
"AZ10307","GLEN CANYON",36.9379,-111.4842,1122,"AZ","Colorado River",29875000,108355,0,NA,1761134400000,"cluster"
"MT00025","FORT PECK DAM",48.00222808,-106.41798709,691,"MT","Missouri River",19100000,57725,0.265614949809841,"Under Investigation, Planning, Permitting, or Design for Remediation",1776686400000,"cluster"
"MN00595","LOCK & DAM #3",44.61104443,-92.60995224,206,"MN","Mississippi",547000,45170,0.116196998776324,"Normal Operations",1.777464e+12,"cluster"
"WA00262","GRAND COULEE",47.9566,-118.9805,330,"WA","Columbia River",9562000,74100,0,NA,1761134400000,"cluster"
"FL00324","PUMPING STATION NO. 2",26.7,-80.7099,3,"FL","NORTH NEW RIVER CANAL",8519000,NA,NA,NA,NA,"cluster"
"FL00327","PUMPING STATION NO. 3",26.69,-80.8,2,"FL","MIAMI CANAL (C-6)",8519000,NA,NA,NA,NA,"cluster"
"FL00302","PUMPING STATION 131 AND LOCK",26.9699,-81.0899,3,"FL","LEVEE 50 BORROW DITCH",8519000,NA,NA,NA,NA,"cluster"
"FL00299","PUMPING STATION 127 AND LOCK",27.12,-80.8899,3,"FL","LEVEE 48 BORROW DITCH",8519000,NA,NA,NA,NA,"cluster"
"FL00301","PUMPING STATION 129",27.03,-81,4,"FL","LEVEE 49 BORROW DITCH",8519000,NA,NA,NA,NA,"cluster"
"FL36001","HERBERT HOOVER DIKE",26.85150613,-80.64171878,6,"FL","Kissimmee River Basin",8519000,NA,18.2296228224684,"Normal Operations",1785499200000,"cluster"
"FL00292","PUMPING STATION 133",27.2,-80.8099,2,"FL","LEVEE D4 BORROW DITCH",8519000,NA,NA,NA,NA,"cluster"
"FL00300","PUMPING STATION 135 AND LOCK",27.0799,-80.66,2,"FL","LEVEE 47 BORROW CANAL",8519000,NA,NA,NA,NA,"cluster"
"FL00297","HENRY CREEK LOCK",27.1625,-80.7174,8,"FL","HENRY CREEK",8519000,1500,NA,NA,NA,"cluster"
"FL00426","STRUCTURE 153",26.9799,-80.5999,4,"FL","LEVEE 65 BORROW CANAL",8519000,NA,NA,NA,NA,"cluster"
"FL00291","STRUCTURE 193 (HURRICANE GATE NO.6)",27.2,-80.79,2,"FL","TAYLOR CREEK",8519000,NA,NA,NA,NA,"cluster"
"FL00678","PUMPING STATION NO. 236",26.7199,-80.8499,2,"FL","LOCAL DRAINAGE CANAL",8519000,NA,NA,NA,NA,"cluster"
"FL00312","STRUCTURE 310 (HURRICANE GATE NO.2)",26.76,-80.91,6,"FL","INDUSTRIAL CANAL",8519000,NA,NA,NA,NA,"cluster"
"KY15701","KENTUCKY",36.242,-88.108,108,"KY","TENNESSEE RIVER",7535400,40200,NA,NA,NA,"cluster"
"ND01072","RAAD - ACORN RIDGE",48.057102,-98.886659,440,"ND","Devils Lake",7173400,NA,0.00439061263224101,NA,1676548800000,"cluster"
"TX00011","SAM RAYBURN DAM AND RESERVOIR",31.06445615,-94.09252964,48,"TX","Angelina River",6520000,3449,0.741377495626713,"Under Investigation, Planning, Permitting, or Design for Remediation",1774958400000,"cluster"
"TX00021","WRIGHT PATMAN DAM AND LAKE",33.31279176,-94.16142485,75,"TX","Sulphur River",6505000,3443,0.876464688743905,"Normal Operations",1777982400000,"cluster"
"SD01093","FORT RANDALL DAM",43.06110325,-98.56016797,415,"SD","Missouri River",6300000,14150,0.595402611501403,"Under Investigation, Planning, Permitting, or Design for Remediation",1773316800000,"cluster"
"KY03010","WOLF CREEK",36.86977861,-85.14379758,226,"KY","Cumberland",6089000,5789,0.225022594475245,"Under Remediation",1767892724000,"cluster"
