state,facility_id,lat,lon,covered,atlas,volume,version,project_area,series_type,units,n_durations,durations
AK,AK00024,59.433334,-151.6999,True,14.0,7.0,2.0,Alaska,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
AK,AK00304,64.4516,-144.892,True,14.0,7.0,2.0,Alaska,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
AL,AL00868,32.19667,-85.185,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
AL,AL00500,32.03,-86.175,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
AR,AR00485,36.41027778,-90.28888889,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
AR,AR01114,36.30666667,-91.765,True,14.0,9.0,2.0,Southeastern States,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
AZ,AZ10427,33.9097,-109.7371,True,14.0,1.0,5.0,Southwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
AZ,AZ11000,33.3473,-109.805,True,14.0,1.0,5.0,Southwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
CA,CA01116,40.0737,-122.5873,True,14.0,6.0,2.0,Southwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
CA,CA00059,34.1943,-118.2984,True,14.0,6.0,2.0,Southwest,Partial duration,inches,19,5-min|10-min|15-min|30-min|60-min|2-hr|3-hr|6-hr|12-hr|24-hr|2-day|3-day|4-day|7-day|10-day|20-day|30-day|45-day|60-day
