facility_id,name,state,benchmark,duration,return_period_yr,ours_mm,atlas2_mm,pct_diff
OR00544,FROG LAKE DAM A,OR,"NOAA Atlas 2 Vol 10 (1973), Oregon",24h,2,77.94,88.67,-12.1
OR00581,EMIGRANT,OR,"NOAA Atlas 2 Vol 10 (1973), Oregon",24h,2,54.84,47.63,15.14
OR01340,CARROLL RESERVOIR,OR,"NOAA Atlas 2 Vol 10 (1973), Oregon",24h,2,65.07,88.9,-26.81
OR00544,FROG LAKE DAM A,OR,"NOAA Atlas 2 Vol 10 (1973), Oregon",24h,100,159.06,149.86,6.14
OR00581,EMIGRANT,OR,"NOAA Atlas 2 Vol 10 (1973), Oregon",24h,100,131.52,101.6,29.45
OR01340,CARROLL RESERVOIR,OR,"NOAA Atlas 2 Vol 10 (1973), Oregon",24h,100,151.75,165.1,-8.09
WA00433,FRENCH CANYON DAM,WA,"NOAA Atlas 2 Vol 9 (1973), Washington",24h,2,55.11,25.93,112.53
WA00443,HORSE SPRING COULEE DAM,WA,"NOAA Atlas 2 Vol 9 (1973), Washington",24h,2,31.06,25.35,22.52
WA00433,FRENCH CANYON DAM,WA,"NOAA Atlas 2 Vol 9 (1973), Washington",24h,100,135.83,56.64,139.81
WA00443,HORSE SPRING COULEE DAM,WA,"NOAA Atlas 2 Vol 9 (1973), Washington",24h,100,71.53,55.77,28.26
