facility_id,name,state,coverage,climate_region,elev_band,is_bor,volume,version,project_area,duration,return_period_yr,ours_mm,atlas14_mm,pct_diff,n_stations,H1
AZ00160,HOWARD,AZ,Vol 1 Semiarid Southwest,Southwest,300-900 m,False,1,5,Southwest,24h,100,99.84,78.74,26.8,46,0.274
AZ00160,HOWARD,AZ,Vol 1 Semiarid Southwest,Southwest,300-900 m,False,1,5,Southwest,24h,1000,153.43,105.66,45.21,46,0.274
AZ00160,HOWARD,AZ,Vol 1 Semiarid Southwest,Southwest,300-900 m,False,1,5,Southwest,72h,100,130.21,86.36,50.78,46,0.274
NM00451,HITTSON CREEK DAM,NM,Vol 1 Semiarid Southwest,Southwest,lowland <300 m,False,1,5,Southwest,24h,100,135.63,135.89,-0.19,42,0.566
NM00451,HITTSON CREEK DAM,NM,Vol 1 Semiarid Southwest,Southwest,lowland <300 m,False,1,5,Southwest,24h,1000,194.72,196.34,-0.83,42,0.566
NM00451,HITTSON CREEK DAM,NM,Vol 1 Semiarid Southwest,Southwest,lowland <300 m,False,1,5,Southwest,72h,100,177.69,165.86,7.13,42,0.566
NV21132,SPANISH FLAT,NV,Vol 1 Semiarid Southwest,West,900-1800 m,False,1,5,Southwest,24h,100,161.42,140.46,14.92,37,1.106
NV21132,SPANISH FLAT,NV,Vol 1 Semiarid Southwest,West,900-1800 m,False,1,5,Southwest,24h,1000,225.65,205.74,9.68,37,1.106
NV21132,SPANISH FLAT,NV,Vol 1 Semiarid Southwest,West,900-1800 m,False,1,5,Southwest,72h,100,295.68,222.76,32.73,37,1.106
UT00315,BOR WASHINGTON LAKE,UT,Vol 1 Semiarid Southwest,Southwest,montane >=1800 m,True,1,5,Southwest,24h,100,88.89,121.41,-26.79,43,0.918
UT00315,BOR WASHINGTON LAKE,UT,Vol 1 Semiarid Southwest,Southwest,montane >=1800 m,True,1,5,Southwest,24h,1000,133.47,174.5,-23.51,43,0.918
UT00315,BOR WASHINGTON LAKE,UT,Vol 1 Semiarid Southwest,Southwest,montane >=1800 m,True,1,5,Southwest,72h,100,126.04,173.99,-27.56,43,0.918
CT00092,MEANS BROOK RESERVOIR,CT,Vol 10 Northeastern States,Northeast,lowland <300 m,False,10,3,Northeastern States,24h,100,211.25,221.49,-4.62,47,-1.841
CT00092,MEANS BROOK RESERVOIR,CT,Vol 10 Northeastern States,Northeast,lowland <300 m,False,10,3,Northeastern States,24h,1000,314.62,337.82,-6.87,47,-1.841
CT00092,MEANS BROOK RESERVOIR,CT,Vol 10 Northeastern States,Northeast,lowland <300 m,False,10,3,Northeastern States,72h,100,273.06,289.56,-5.7,47,-1.841
MA00676,EAMES MILL POND DAM,MA,Vol 10 Northeastern States,Northeast,lowland <300 m,False,10,3,Northeastern States,24h,100,197.7,189.99,4.06,50,-0.85
MA00676,EAMES MILL POND DAM,MA,Vol 10 Northeastern States,Northeast,lowland <300 m,False,10,3,Northeastern States,24h,1000,347.48,292.1,18.96,50,-0.85
MA00676,EAMES MILL POND DAM,MA,Vol 10 Northeastern States,Northeast,lowland <300 m,False,10,3,Northeastern States,72h,100,231.51,241.3,-4.06,50,-0.85
ME00010,JAY,ME,Vol 10 Northeastern States,Northeast,lowland <300 m,False,10,3,Northeastern States,24h,100,167.19,165.86,0.8,50,0.863
ME00010,JAY,ME,Vol 10 Northeastern States,Northeast,lowland <300 m,False,10,3,Northeastern States,24h,1000,231.28,232.16,-0.38,50,0.863
ME00010,JAY,ME,Vol 10 Northeastern States,Northeast,lowland <300 m,False,10,3,Northeastern States,72h,100,194.42,214.12,-9.2,50,0.863
TX00608,RAYZOR LAKE DAM,TX,Vol 11 Texas,South,lowland <300 m,False,11,2,Texas,24h,100,228.21,229.87,-0.72,46,-1.643
TX00608,RAYZOR LAKE DAM,TX,Vol 11 Texas,South,lowland <300 m,False,11,2,Texas,24h,1000,326.6,332.74,-1.85,46,-1.643
TX00608,RAYZOR LAKE DAM,TX,Vol 11 Texas,South,lowland <300 m,False,11,2,Texas,72h,100,272.72,287.02,-4.98,46,-1.643
TX01262,CHAMBERS CREEK WS SCS SITE 79B DAM,TX,Vol 11 Texas,South,lowland <300 m,False,11,2,Texas,24h,100,241.62,250.44,-3.52,48,-2.004
TX01262,CHAMBERS CREEK WS SCS SITE 79B DAM,TX,Vol 11 Texas,South,lowland <300 m,False,11,2,Texas,24h,1000,355.98,381.0,-6.57,48,-2.004
TX01262,CHAMBERS CREEK WS SCS SITE 79B DAM,TX,Vol 11 Texas,South,lowland <300 m,False,11,2,Texas,72h,100,295.44,307.34,-3.87,48,-2.004
TX02641,RICHLAND CREEK WS SCS SITE 126 DAM,TX,Vol 11 Texas,South,lowland <300 m,False,11,2,Texas,24h,100,247.28,259.08,-4.55,49,-1.584
TX02641,RICHLAND CREEK WS SCS SITE 126 DAM,TX,Vol 11 Texas,South,lowland <300 m,False,11,2,Texas,24h,1000,369.33,408.94,-9.69,49,-1.584
TX02641,RICHLAND CREEK WS SCS SITE 126 DAM,TX,Vol 11 Texas,South,lowland <300 m,False,11,2,Texas,72h,100,294.85,314.96,-6.38,49,-1.584
MT01034,TAYLOR RESERVOIR (FERGUS),MT,Vol 12 Interior Northwest,Northern Rockies & Plains,900-1800 m,False,12,2,Interior Northwest,24h,100,113.02,107.19,5.44,47,0.106
MT01034,TAYLOR RESERVOIR (FERGUS),MT,Vol 12 Interior Northwest,Northern Rockies & Plains,900-1800 m,False,12,2,Interior Northwest,24h,1000,172.74,160.78,7.44,47,0.106
