project_area,n,median_pct,mean_pct,p10_pct,p90_pct,iqr_pct,median_abs_pct,frac_within_10pct,frac_within_20pct,frac_ours_higher
Alaska,2,37.49,37.49,14.48,60.52,28.77,37.49,0.5,0.5,1.0
Hawaiian Islands,3,-10.09,-8.59,-22.7,6.11,18.0,10.16,0.0,0.667,0.333
Interior Northwest,4,-1.58,2.76,-10.83,19.82,19.97,10.19,0.5,0.75,0.5
Midwestern States,4,-5.22,-10.04,-23.89,-0.03,9.0,5.22,0.75,0.75,0.25
Northeastern States,3,0.8,0.08,-3.54,3.41,4.34,4.06,1.0,1.0,0.667
Ohio River Basin,3,-1.29,-0.38,-3.6,3.21,4.26,4.18,1.0,1.0,0.333
Puerto Rico and U.S. Virgin Islands,2,-18.4,-18.4,-28.88,-7.92,13.1,18.4,0.5,0.5,0.0
Southeastern States,2,-5.96,-5.96,-9.32,-2.6,4.2,5.96,0.5,1.0,0.0
Southwest,9,8.71,3.74,-27.33,27.79,29.65,18.81,0.222,0.556,0.556
Texas,3,-3.52,-2.93,-4.34,-1.28,1.92,3.52,1.0,1.0,0.0
