"site","site_id","duration","station_id","name","reason"
"WISHON MAIN","CA00411","24h","USC00041609","CEDAR GROVE","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00041630","CENTRAL CAMP","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00040823","BISHOP","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00045280","MAMMOTH LAKES RS","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00045352","MARIPOSA RS","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USW00053150","YOSEMITE VILLAGE 12 W","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00265931","PALMETTO","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00042173","CROCKER STN","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00265362","MONTGOMERY MNTC STN","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00049065","TUOLUMNE GROVELAND RS","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00264560","LIDA","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00043666","GROVELAND","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00261755","COALDALE JUNCTION","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00049512","WELDON 1 WSW","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","US1CAKN0013","ONYX 2.8 ENE","record < 20 yr for 72h duration"
"WISHON MAIN","CA00411","24h","USC00043669","USC00043669","discordant (Di >= Dcrit = 3.000)"
"WISHON MAIN","CA00411","24h","USC00041075","USC00041075","discordant (Di >= Dcrit = 3.000)"
"WISHON MAIN","CA00411","24h","USC00044232","USC00044232","dropped to achieve homogeneity (greedy H1 reduction)"
"WISHON MAIN","CA00411","24h","USW00023157","USW00023157","dropped to achieve homogeneity (greedy H1 reduction)"
"WISHON MAIN","CA00411","24h","USC00040684","USC00040684","dropped to achieve homogeneity (greedy H1 reduction)"
"WISHON MAIN","CA00411","24h","USC00043939","USC00043939","dropped to achieve homogeneity (greedy H1 reduction)"
"WISHON MAIN","CA00411","24h","USC00049855","USC00049855","dropped to achieve homogeneity (greedy H1 reduction)"
