"site","site_id","duration","station_id","name","lat","lon","elev_m","distance_km","n_years","mean_mm"
"WISHON MAIN","CA00411","24h","USC00043551","GRANT GROVE",36.7375,-118.9619,2005.6,29.7,73,118.36
"WISHON MAIN","CA00411","24h","USC00040755","BIG CREEK PH 1",37.2064,-119.2419,1486.8,33.1,49,85.92
"WISHON MAIN","CA00411","24h","USC00044176","HUNTINGTON LAKE",37.2275,-119.2206,2139.7,33.4,71,89.8
"WISHON MAIN","CA00411","24h","USC00040820","ASPENDELL",37.2322,-118.5994,2581.7,41.4,32,54.52
"WISHON MAIN","CA00411","24h","USC00045496","MEADOW LAKE",37.0833,-119.4333,1366.1,42.2,27,77.19
"WISHON MAIN","CA00411","24h","USC00040819","BISHOP CREEK INTAKE 2",37.2481,-118.5814,2485.3,43.7,42,45.08
"WISHON MAIN","CA00411","24h","USC00045026","LODGEPOLE",36.6044,-118.7325,2052.8,49.2,49,127.23
"WISHON MAIN","CA00411","24h","USC00043397","GIANT FOREST",36.5667,-118.7667,1955,51.9,44,138.07
"WISHON MAIN","CA00411","24h","USC00046252","N FK RS",37.2328,-119.5097,806.2,54.3,67,87.19
"WISHON MAIN","CA00411","24h","USC00041878","COARSEGOLD 1 SW",37.2503,-119.7053,679.7,70.8,25,70.48
"WISHON MAIN","CA00411","24h","USC00048380","SO ENTRANCE YOSEMITE NP",37.5122,-119.6331,1538.3,81.6,65,119.32
"WISHON MAIN","CA00411","24h","USC00048463","SPRINGVILLE TULE HD",36.1933,-118.6567,1240.5,94.4,38,108.17
"WISHON MAIN","CA00411","24h","USC00048455","SPRINGVILLE 7 ENE",36.1667,-118.7,752.9,96.2,20,91.59
"WISHON MAIN","CA00411","24h","USC00042331","DEEP SPRINGS COLLEGE",37.3739,-117.9803,1592.6,96.7,38,28.6
"WISHON MAIN","CA00411","24h","USC00045346","MARIPOSA",37.4833,-119.9667,613,103.2,65,82.09
"WISHON MAIN","CA00411","24h","USC00262431","DYER 5S",37.6064,-118,1493.5,108.7,74,27.82
"WISHON MAIN","CA00411","24h","USC00045779","MONO LAKE",38,-119.15,1965.7,111.9,38,52.85
"WISHON MAIN","CA00411","24h","USC00044389","JOHNSONDALE",35.9667,-118.5333,1427.1,121.7,20,79.39
"WISHON MAIN","CA00411","24h","USC00041300","CALIF HOT SPRINGS RS",35.8833,-118.6833,900.1,127.2,23,71.15
"WISHON MAIN","CA00411","24h","USC00043710","HAIWEE",36.1389,-117.9528,1165.9,132.2,84,36.84
"WISHON MAIN","CA00411","24h","USC00044679","LAKE ELEANOR",37.9667,-119.8833,1421,134.1,41,103.72
"WISHON MAIN","CA00411","24h","USC00040943","BODIE CALIFORNIA ST HISTORIC P",38.2119,-119.0142,2551.2,134.4,53,40.66
"WISHON MAIN","CA00411","24h","USC00041697","CHERRY VALLEY DAM",37.9747,-119.9161,1452.4,136.5,62,119.73
"WISHON MAIN","CA00411","24h","USC00047096","POSEY 3 E",35.8,-118.6333,1511.8,137.2,27,84.07
"WISHON MAIN","CA00411","24h","USC00041072","BRIDGEPORT",38.2575,-119.2286,1972.1,141.2,65,37.17
"WISHON MAIN","CA00411","24h","USC00044523","KERN RIVER PH 3",35.7831,-118.4389,823.9,143.8,58,44.43
"WISHON MAIN","CA00411","24h","USC00043463","GLENNVILLE",35.7269,-118.7006,957.1,144,64,54.2
"WISHON MAIN","CA00411","24h","USC00043468","GLENNVILLE MORROW RCH",35.7,-118.7333,997,146.5,30,60.23
"WISHON MAIN","CA00411","24h","USC00044527","WOFFORD HTS KERNVILLE",35.7333,-118.4333,808,149.2,33,39.23
"WISHON MAIN","CA00411","24h","USC00267463","SILVERPEAK",37.7617,-117.5658,1302.7,149.8,46,24.88
"WISHON MAIN","CA00411","24h","USC00049754","WOFFORD HTS KERNVILLE",35.7167,-118.45,833,150.5,28,48.82
"WISHON MAIN","CA00411","24h","USS0019L08S","Leavitt Meadows",38.3,-119.55,2194,152.9,46,86.17
"WISHON MAIN","CA00411","72h","USC00043551","GRANT GROVE",36.7375,-118.9619,2005.6,29.7,73,189.72
"WISHON MAIN","CA00411","72h","USC00040755","BIG CREEK PH 1",37.2064,-119.2419,1486.8,33.1,49,135.14
"WISHON MAIN","CA00411","72h","USC00044176","HUNTINGTON LAKE",37.2275,-119.2206,2139.7,33.4,71,139.14
"WISHON MAIN","CA00411","72h","USC00040820","ASPENDELL",37.2322,-118.5994,2581.7,41.4,32,81.51
"WISHON MAIN","CA00411","72h","USC00045496","MEADOW LAKE",37.0833,-119.4333,1366.1,42.2,27,123.49
"WISHON MAIN","CA00411","72h","USC00040819","BISHOP CREEK INTAKE 2",37.2481,-118.5814,2485.3,43.7,42,66.03
"WISHON MAIN","CA00411","72h","USC00045026","LODGEPOLE",36.6044,-118.7325,2052.8,49.2,49,198.39
"WISHON MAIN","CA00411","72h","USC00043397","GIANT FOREST",36.5667,-118.7667,1955,51.9,44,211.06
"WISHON MAIN","CA00411","72h","USC00046252","N FK RS",37.2328,-119.5097,806.2,54.3,67,139.17
"WISHON MAIN","CA00411","72h","USC00041878","COARSEGOLD 1 SW",37.2503,-119.7053,679.7,70.8,25,101.99
"WISHON MAIN","CA00411","72h","USC00048380","SO ENTRANCE YOSEMITE NP",37.5122,-119.6331,1538.3,81.6,65,185.95
"WISHON MAIN","CA00411","72h","USC00048463","SPRINGVILLE TULE HD",36.1933,-118.6567,1240.5,94.4,38,162.24
"WISHON MAIN","CA00411","72h","USC00048455","SPRINGVILLE 7 ENE",36.1667,-118.7,752.9,96.2,20,135.13
"WISHON MAIN","CA00411","72h","USC00049855","YOSEMITE PARK HQ",37.7503,-119.5897,1224.7,99.5,83,144.31
"WISHON MAIN","CA00411","72h","USC00045346","MARIPOSA",37.4833,-119.9667,613,103.2,65,129.09
"WISHON MAIN","CA00411","72h","USC00044881","LEE VINING",37.9567,-119.1194,2071.7,106.7,36,72.47
"WISHON MAIN","CA00411","72h","USC00262431","DYER 5S",37.6064,-118,1493.5,108.7,74,31.83
"WISHON MAIN","CA00411","72h","USC00044389","JOHNSONDALE",35.9667,-118.5333,1427.1,121.7,20,120.04
"WISHON MAIN","CA00411","72h","USC00045400","MATHER",37.885,-119.8561,1374.6,125.4,49,119.73
