"site","site_id","duration","return_period_yr","depth_circular_mm","depth_cluster_mm","band_pct","band_source"
"AGATE DAM","OR00422","24h",2,46.48,46.48,0,"identical_fallback"
"AGATE DAM","OR00422","24h",5,62.41,62.41,0,"identical_fallback"
"AGATE DAM","OR00422","24h",10,73.46,73.46,0,"identical_fallback"
"AGATE DAM","OR00422","24h",25,88.02,88.02,0,"identical_fallback"
"AGATE DAM","OR00422","24h",50,99.28,99.28,0,"identical_fallback"
"AGATE DAM","OR00422","24h",100,110.84,110.84,0,"identical_fallback"
"AGATE DAM","OR00422","24h",200,122.76,122.76,0,"identical_fallback"
"AGATE DAM","OR00422","24h",500,139.13,139.13,0,"identical_fallback"
"AGATE DAM","OR00422","24h",1000,152,152,0,"identical_fallback"
"AGATE DAM","OR00422","24h",2000,165.31,165.31,0,"identical_fallback"
"AGATE DAM","OR00422","24h",5000,183.63,183.63,0,"identical_fallback"
"AGATE DAM","OR00422","24h",10000,198.04,198.04,0,"identical_fallback"
"AGATE DAM","OR00422","72h",2,77.31,77.31,0,"identical_fallback"
"AGATE DAM","OR00422","72h",5,103.01,103.01,0,"identical_fallback"
"AGATE DAM","OR00422","72h",10,120.04,120.04,0,"identical_fallback"
"AGATE DAM","OR00422","72h",25,141.59,141.59,0,"identical_fallback"
"AGATE DAM","OR00422","72h",50,157.59,157.59,0,"identical_fallback"
"AGATE DAM","OR00422","72h",100,173.49,173.49,0,"identical_fallback"
"AGATE DAM","OR00422","72h",200,189.35,189.35,0,"identical_fallback"
"AGATE DAM","OR00422","72h",500,210.29,210.29,0,"identical_fallback"
"AGATE DAM","OR00422","72h",1000,226.14,226.14,0,"identical_fallback"
"AGATE DAM","OR00422","72h",2000,241.99,241.99,0,"identical_fallback"
"AGATE DAM","OR00422","72h",5000,262.96,262.96,0,"identical_fallback"
"AGATE DAM","OR00422","72h",10000,278.84,278.84,0,"identical_fallback"
"AGENCY VALLEY","OR00589","24h",2,24.51,32.61,24.84,"two_method"
"AGENCY VALLEY","OR00589","24h",5,32.59,41.31,21.11,"two_method"
"AGENCY VALLEY","OR00589","24h",10,38.31,47.63,19.57,"two_method"
"AGENCY VALLEY","OR00589","24h",25,45.99,56.76,18.97,"two_method"
"AGENCY VALLEY","OR00589","24h",50,52.03,64.62,19.48,"two_method"
"AGENCY VALLEY","OR00589","24h",100,58.34,73.53,20.66,"two_method"
"AGENCY VALLEY","OR00589","24h",200,64.94,83.71,22.42,"two_method"
"AGENCY VALLEY","OR00589","24h",500,74.16,99.45,25.43,"two_method"
"AGENCY VALLEY","OR00589","24h",1000,81.54,113.4,28.1,"two_method"
"AGENCY VALLEY","OR00589","24h",2000,89.29,129.39,30.99,"two_method"
"AGENCY VALLEY","OR00589","24h",5000,100.14,154.22,35.07,"two_method"
"AGENCY VALLEY","OR00589","24h",10000,108.83,176.24,38.25,"two_method"
"AGENCY VALLEY","OR00589","72h",2,32.91,44.86,26.64,"two_method"
"AGENCY VALLEY","OR00589","72h",5,42.98,57.67,25.47,"two_method"
"AGENCY VALLEY","OR00589","72h",10,49.66,66.4,25.21,"two_method"
"AGENCY VALLEY","OR00589","72h",25,58.12,77.72,25.22,"two_method"
"AGENCY VALLEY","OR00589","72h",50,64.4,86.32,25.39,"two_method"
"AGENCY VALLEY","OR00589","72h",100,70.64,95.05,25.68,"two_method"
"AGENCY VALLEY","OR00589","72h",200,76.87,103.93,26.04,"two_method"
"AGENCY VALLEY","OR00589","72h",500,85.11,115.93,26.59,"two_method"
"AGENCY VALLEY","OR00589","72h",1000,91.34,125.23,27.06,"two_method"
"AGENCY VALLEY","OR00589","72h",2000,97.58,134.71,27.56,"two_method"
"AGENCY VALLEY","OR00589","72h",5000,105.84,147.56,28.27,"two_method"
"AGENCY VALLEY","OR00589","72h",10000,112.1,157.52,28.83,"two_method"
"ALCOVA","WY01290","24h",2,31.17,32.24,3.32,"two_method"
"ALCOVA","WY01290","24h",5,44.18,45.87,3.68,"two_method"
"ALCOVA","WY01290","24h",10,53.43,55.56,3.83,"two_method"
"ALCOVA","WY01290","24h",25,65.89,68.61,3.96,"two_method"
"ALCOVA","WY01290","24h",50,75.73,78.91,4.03,"two_method"
"ALCOVA","WY01290","24h",100,86.03,89.7,4.09,"two_method"
"ALCOVA","WY01290","24h",200,96.84,101.02,4.14,"two_method"
"ALCOVA","WY01290","24h",500,112.01,116.9,4.18,"two_method"
"ALCOVA","WY01290","24h",1000,124.18,129.66,4.23,"two_method"
"ALCOVA","WY01290","24h",2000,137.01,143.1,4.26,"two_method"
"ALCOVA","WY01290","24h",5000,155.03,161.97,4.28,"two_method"
"ALCOVA","WY01290","24h",10000,169.51,177.15,4.31,"two_method"
"ALCOVA","WY01290","72h",2,38.8,40.18,3.43,"two_method"
"ALCOVA","WY01290","72h",5,55.07,57.18,3.69,"two_method"
"ALCOVA","WY01290","72h",10,66.3,68.79,3.62,"two_method"
"ALCOVA","WY01290","72h",25,81.05,83.89,3.39,"two_method"
"ALCOVA","WY01290","72h",50,92.42,95.4,3.12,"two_method"
"ALCOVA","WY01290","72h",100,104.06,107.1,2.84,"two_method"
"ALCOVA","WY01290","72h",200,116.02,119.03,2.53,"two_method"
"ALCOVA","WY01290","72h",500,132.4,135.2,2.07,"two_method"
"ALCOVA","WY01290","72h",1000,145.24,147.75,1.7,"two_method"
"ALCOVA","WY01290","72h",2000,158.48,160.59,1.31,"two_method"
"ALCOVA","WY01290","72h",5000,176.63,178.03,0.79,"two_method"
"ALCOVA","WY01290","72h",10000,190.87,191.57,0.37,"two_method"
"AMERICAN DIVERSION","NM82924","24h",2,33.49,33.26,0.69,"two_method"
"AMERICAN DIVERSION","NM82924","24h",5,47.91,48.4,1.01,"two_method"
"AMERICAN DIVERSION","NM82924","24h",10,57.62,58.98,2.31,"two_method"
"AMERICAN DIVERSION","NM82924","24h",25,70.04,72.87,3.88,"two_method"
"AMERICAN DIVERSION","NM82924","24h",50,79.4,83.58,5,"two_method"
"AMERICAN DIVERSION","NM82924","24h",100,88.85,94.58,6.06,"two_method"
"AMERICAN DIVERSION","NM82924","24h",200,98.45,105.92,7.05,"two_method"
"AMERICAN DIVERSION","NM82924","24h",500,111.44,121.52,8.29,"two_method"
"AMERICAN DIVERSION","NM82924","24h",1000,121.53,133.84,9.2,"two_method"
"AMERICAN DIVERSION","NM82924","24h",2000,131.89,146.62,10.05,"two_method"
"AMERICAN DIVERSION","NM82924","24h",5000,146.02,164.29,11.12,"two_method"
"AMERICAN DIVERSION","NM82924","24h",10000,157.05,178.26,11.9,"two_method"
"AMERICAN DIVERSION","NM82924","72h",2,40.88,40.71,0.42,"two_method"
"AMERICAN DIVERSION","NM82924","72h",5,59.5,59.09,0.69,"two_method"
"AMERICAN DIVERSION","NM82924","72h",10,72.6,72.13,0.65,"two_method"
"AMERICAN DIVERSION","NM82924","72h",25,90.1,89.69,0.46,"two_method"
"AMERICAN DIVERSION","NM82924","72h",50,103.79,103.54,0.24,"two_method"
"AMERICAN DIVERSION","NM82924","72h",100,118.02,118.02,0,"two_method"
"AMERICAN DIVERSION","NM82924","72h",200,132.84,133.22,0.29,"two_method"
"AMERICAN DIVERSION","NM82924","72h",500,153.46,154.5,0.67,"two_method"
"AMERICAN DIVERSION","NM82924","72h",1000,169.87,171.57,0.99,"two_method"
"AMERICAN DIVERSION","NM82924","72h",2000,187.04,189.54,1.32,"two_method"
"AMERICAN DIVERSION","NM82924","72h",5000,210.94,214.76,1.78,"two_method"
"AMERICAN DIVERSION","NM82924","72h",10000,229.98,235,2.14,"two_method"
"ANCHOR","WY01298","24h",2,32.5,36.59,11.18,"two_method"
"ANCHOR","WY01298","24h",5,45.36,51.54,11.99,"two_method"
"ANCHOR","WY01298","24h",10,54.04,61.7,12.41,"two_method"
"ANCHOR","WY01298","24h",25,65.2,74.84,12.88,"two_method"
"ANCHOR","WY01298","24h",50,73.62,84.8,13.18,"two_method"
"ANCHOR","WY01298","24h",100,82.09,94.88,13.48,"two_method"
"ANCHOR","WY01298","24h",200,90.66,105.12,13.76,"two_method"
"ANCHOR","WY01298","24h",500,102.14,118.92,14.11,"two_method"
"ANCHOR","WY01298","24h",1000,110.97,129.58,14.36,"two_method"
"ANCHOR","WY01298","24h",2000,119.92,140.44,14.61,"two_method"
"ANCHOR","WY01298","24h",5000,131.94,155.12,14.94,"two_method"
"ANCHOR","WY01298","24h",10000,141.18,166.46,15.19,"two_method"
"ANCHOR","WY01298","72h",2,42.36,48.53,12.71,"two_method"
"ANCHOR","WY01298","72h",5,59.59,68.97,13.6,"two_method"
"ANCHOR","WY01298","72h",10,70.98,82.37,13.83,"two_method"
"ANCHOR","WY01298","72h",25,85.35,99.19,13.95,"two_method"
"ANCHOR","WY01298","72h",50,96,111.66,14.02,"two_method"
