"site","site_id","duration","roi_engaged","n_stations_roi","depth_circular_mm","depth_cluster_mm","depth_roi_mm","band_pct","roi_vs_circular_pct","roi_vs_cluster_pct","roi_within_band","roi_closer_to"
"BRADBURY","CA10136","24h",FALSE,26,323.92,17.46,323.92,94.61,0,94.61,TRUE,"circular"
"BOR DEER CREEK","UT10117","72h",TRUE,42,264.4,87.17,165.95,67.03,37.24,47.47,TRUE,"circular"
"JAMESTOWN DAM","ND00151","24h",FALSE,7,205.32,68.43,205.32,66.67,0,66.67,TRUE,"circular"
"LAURO","CA10164","24h",FALSE,32,249.83,86.86,249.83,65.23,0,65.23,TRUE,"circular"
"OCHOCO","OR00098","72h",TRUE,37,239.82,645.35,410.63,62.84,41.6,36.37,TRUE,"cluster"
"ROZA DIVERSION DAM","WA00275","72h",TRUE,15,652.96,243.85,296.95,62.65,54.52,17.88,TRUE,"cluster"
"EAST CANYON","UT10119","24h",TRUE,41,193.23,73.84,195.11,61.79,0.96,62.15,FALSE,"circular"
"FRENCH CANYON","WA82901","72h",TRUE,16,659.83,261.8,278.06,60.32,57.86,5.85,TRUE,"cluster"
"FRENCH CANYON DAM","WA00433","72h",TRUE,17,659.83,261.8,261.1,60.32,60.43,0.27,FALSE,"cluster"
"MARYS LAKE DIKE NO. 1","CO01660","24h",TRUE,25,353.38,140.4,281.81,60.27,20.25,50.18,TRUE,"circular"
"RESERVOIR A","ID00261","72h",TRUE,22,171.98,431.04,134.63,60.1,21.72,68.77,FALSE,"circular"
"BOR WANSHIP","UT10131","24h",TRUE,42,191.54,80.02,200.34,58.22,4.39,60.06,FALSE,"circular"
"BOR CAUSEY","UT10116","72h",TRUE,41,274.01,121.31,151.4,55.73,44.75,19.87,TRUE,"cluster"
"ANDERSON-ROSE DIV.","OR00585","24h",TRUE,43,291.99,130.12,285.27,55.44,2.3,54.39,TRUE,"circular"
"WILLOW CREEK","CO01670","24h",TRUE,21,304.21,140.23,258.78,53.9,14.93,45.81,TRUE,"circular"
"BOR CAUSEY","UT10116","24h",TRUE,42,157.04,73.28,189.4,53.34,17.09,61.31,FALSE,"circular"
"EAST CANYON","UT10119","72h",TRUE,42,256.17,122.13,152.67,52.32,40.4,20,TRUE,"cluster"
"LAURO","CA10164","72h",FALSE,34,283.13,575.84,283.13,50.83,0,50.83,TRUE,"circular"
"JAMESTOWN DAM","ND00151","72h",FALSE,7,207.14,108.75,207.14,47.5,0,47.5,TRUE,"circular"
"OCHOCO","OR00098","24h",TRUE,40,150.39,286.43,194.55,47.5,22.7,32.08,TRUE,"circular"
"WILLOW CREEK","CO01670","72h",TRUE,17,493.71,263.68,476.8,46.59,3.43,44.7,TRUE,"circular"
"BOR WANSHIP","UT10131","72h",TRUE,45,242.46,131.07,158.21,45.94,34.75,17.15,TRUE,"cluster"
"BOR DEER CREEK","UT10117","24h",TRUE,39,120.73,65.3,122.65,45.91,1.57,46.76,FALSE,"circular"
"RESERVOIR A","ID00261","24h",TRUE,22,154.41,263.28,130.98,41.35,15.17,50.25,FALSE,"circular"
"ANDERSON-ROSE DIV.","OR00585","72h",TRUE,42,444.73,330.35,467.21,25.72,4.81,29.29,FALSE,"circular"
"BRADBURY","CA10136","72h",FALSE,27,407.51,528.43,407.51,22.88,0,22.88,TRUE,"circular"
"FRENCH CANYON","WA82901","24h",TRUE,16,328.58,254.65,234.52,22.5,28.63,7.9,FALSE,"cluster"
"FRENCH CANYON DAM","WA00433","24h",TRUE,18,328.58,254.65,229.63,22.5,30.11,9.83,FALSE,"cluster"
"ROZA DIVERSION DAM","WA00275","24h",TRUE,15,316.5,253.66,267.54,19.85,15.47,5.19,TRUE,"cluster"
"MARYS LAKE DIKE NO. 1","CO01660","72h",TRUE,24,286.95,263.07,441.34,8.32,34.98,40.39,FALSE,"circular"
