"site","site_id","duration","n_stations","H1","homog_status","chosen_dist","chosen_absZ","Z_acceptable","selection_source","reviewer","runner_up","runner_up_absZ","z_margin","review_recommended","depth_10k_mm","tail_min_10k_mm","tail_max_10k_mm","tail_spread_pct","needs_review"
"HOOVER","NV10122","24h",29,0.912,"homogeneous","GLO",0.43,TRUE,"auto",NA,"GEV",2.188,1.758,FALSE,264.7,96.4,264.7,63.6,FALSE
"HOOVER","NV10122","72h",27,0.308,"homogeneous","GLO",1.384,TRUE,"auto",NA,"GEV",1.716,0.332,TRUE,286.6,106.9,286.6,62.7,FALSE
"GLEN CANYON","AZ10307","24h",45,0.881,"homogeneous","GEV",1.559,TRUE,"auto",NA,"GLO",2.022,0.463,TRUE,146,81.5,215.7,91.9,FALSE
"GLEN CANYON","AZ10307","72h",46,0.802,"homogeneous","GLO",0.844,TRUE,"auto",NA,"GEV",2.317,1.473,FALSE,310.1,114.5,310.1,63.1,FALSE
"GRAND COULEE","WA00262","24h",40,0.904,"homogeneous","GEV",0.987,TRUE,"auto",NA,"GNO",1.885,0.898,FALSE,153.8,91.3,224.7,86.8,FALSE
"GRAND COULEE","WA00262","72h",38,0.817,"homogeneous","GLO",1.583,TRUE,"auto",NA,"GEV",2.197,0.614,FALSE,309.4,128.9,309.4,58.4,FALSE
"SHASTA","CA10186","24h",42,0.858,"homogeneous","GLO",1.46,TRUE,"auto",NA,"GEV",2.935,1.475,FALSE,394.2,165.4,394.2,58.1,FALSE
"SHASTA","CA10186","72h",40,0.679,"homogeneous","GEV",1.798,FALSE,"auto",NA,"GNO",2.26,0.462,TRUE,464.6,283.9,693,88,TRUE
"FLAMING GORGE","UT10121","24h",50,0.733,"homogeneous","GLO",0.914,TRUE,"auto",NA,"GEV",2.903,1.989,FALSE,173.4,66.6,173.4,61.6,FALSE
"FLAMING GORGE","UT10121","72h",50,0.617,"homogeneous","GEV",1.613,TRUE,"auto",NA,"GNO",2.508,0.895,FALSE,138,80.2,204.9,90.4,FALSE
