"site","site_id","duration","dist","T","growth_factor","depth_mm"
"HOOVER","NV10122","24h","GPA",10000,2.7929,96.38
"HOOVER","NV10122","24h","PE3",10000,4.1731,144.01
"HOOVER","NV10122","24h","GNO",10000,4.833,166.78
"HOOVER","NV10122","24h","GEV",10000,5.1113,176.38
"HOOVER","NV10122","24h","GLO",10000,7.6701,264.68
"HOOVER","NV10122","72h","GPA",10000,2.5843,106.86
"HOOVER","NV10122","72h","PE3",10000,4.0331,166.77
"HOOVER","NV10122","72h","GNO",10000,4.5131,186.62
"HOOVER","NV10122","72h","GEV",10000,4.5638,188.72
"HOOVER","NV10122","72h","GLO",10000,6.9311,286.6
"GLEN CANYON","AZ10307","24h","GPA",10000,2.5507,81.53
"GLEN CANYON","AZ10307","24h","PE3",10000,3.6865,117.83
"GLEN CANYON","AZ10307","24h","GNO",10000,4.2802,136.8
"GLEN CANYON","AZ10307","24h","GEV",10000,4.5675,145.98
"GLEN CANYON","AZ10307","24h","GLO",10000,6.7501,215.74
"GLEN CANYON","AZ10307","72h","GPA",10000,2.8153,114.49
"GLEN CANYON","AZ10307","72h","PE3",10000,3.9154,159.22
"GLEN CANYON","AZ10307","72h","GNO",10000,4.6911,190.77
"GLEN CANYON","AZ10307","72h","GEV",10000,5.2023,211.55
"GLEN CANYON","AZ10307","72h","GLO",10000,7.6249,310.07
"GRAND COULEE","WA00262","24h","GPA",10000,2.1501,91.27
"GRAND COULEE","WA00262","24h","PE3",10000,3.0941,131.34
"GRAND COULEE","WA00262","24h","GNO",10000,3.4928,148.27
"GRAND COULEE","WA00262","24h","GEV",10000,3.6232,153.81
"GRAND COULEE","WA00262","24h","GLO",10000,5.2939,224.73
"GRAND COULEE","WA00262","72h","GPA",10000,2.044,128.86
"GRAND COULEE","WA00262","72h","PE3",10000,2.9931,188.69
"GRAND COULEE","WA00262","72h","GNO",10000,3.3123,208.81
"GRAND COULEE","WA00262","72h","GEV",10000,3.3507,211.24
"GRAND COULEE","WA00262","72h","GLO",10000,4.9084,309.44
"SHASTA","CA10186","24h","GPA",10000,2.0241,165.38
"SHASTA","CA10186","24h","PE3",10000,3.045,248.8
"SHASTA","CA10186","24h","GEV",10000,3.2645,266.73
"SHASTA","CA10186","24h","GNO",10000,3.3104,270.48
"SHASTA","CA10186","24h","GLO",10000,4.8252,394.25
"SHASTA","CA10186","72h","GPA",10000,2.1145,283.94
"SHASTA","CA10186","72h","PE3",10000,3.2334,434.2
"SHASTA","CA10186","72h","GEV",10000,3.4601,464.64
"SHASTA","CA10186","72h","GNO",10000,3.5177,472.37
