"site","duration","return_period_yr","AEP","depth_mm","depth_lo_mm","depth_hi_mm","rel_rmse"
"Como Dam","24h",2,0.5,39.52,39.12,40.07,0.008
"Como Dam","24h",5,0.2,52.36,51.88,52.9,0.006
"Como Dam","24h",10,0.1,60.72,59.73,61.61,0.01
"Como Dam","24h",25,0.04,71.12,68.86,72.85,0.018
"Como Dam","24h",50,0.02,78.72,75.24,81.31,0.026
"Como Dam","24h",100,0.01,86.18,81.3,90.16,0.033
"Como Dam","24h",200,0.005,93.51,86.93,99.03,0.042
"Como Dam","24h",500,0.002,103.05,93.86,110.91,0.053
"Como Dam","24h",1000,0.001,110.15,98.71,119.96,0.061
"Como Dam","24h",2000,5e-04,117.17,103.4,129.27,0.07
"Como Dam","24h",5000,2e-04,126.3,109.1,141.89,0.082
"Como Dam","24h",10000,1e-04,133.12,113.16,151.64,0.091
"Como Dam","72h",2,0.5,46.05,45.51,46.74,0.008
"Como Dam","72h",5,0.2,60.64,60.06,61.23,0.006
"Como Dam","72h",10,0.1,69.95,68.61,71.13,0.011
"Como Dam","72h",25,0.04,81.43,78.73,83.6,0.019
"Como Dam","72h",50,0.02,89.8,85.93,92.95,0.025
"Como Dam","72h",100,0.01,98.05,92.7,102.33,0.031
"Como Dam","72h",200,0.005,106.26,99.41,111.78,0.037
"Como Dam","72h",500,0.002,117.1,107.83,124.76,0.045
"Como Dam","72h",1000,0.001,125.36,114.29,134.73,0.051
"Como Dam","72h",2000,5e-04,133.68,120.75,145.07,0.056
"Como Dam","72h",5000,2e-04,144.81,129.2,159.11,0.063
"Como Dam","72h",10000,1e-04,153.35,135.63,169.54,0.069
