"station_id","name","lat","lon","elev_m","distance_km","n_years","mean_mm"
"DEMO01","Bitterroot core gauge 1",45.6965116494708,-114.043527826965,1078,42.8,40,44.65
"DEMO02","Bitterroot core gauge 2",46.9601068559475,-114.540415645689,1046,103,40,39.63
"DEMO04","Bitterroot core gauge 4",45.0564501266368,-115.275680492371,2068,137.9,40,51.95
"DEMO05","Bitterroot core gauge 5",46.6397002410051,-114.863207682706,1559,80.9,40,46.07
"DEMO06","Bitterroot core gauge 6",46.6109655619971,-115.150755411685,1701,93.6,40,49.74
"DEMO07","Bitterroot core gauge 7",46.7198918453325,-114.294327720553,1088,73.7,40,42.6
"DEMO08","Bitterroot core gauge 8",46.9064635867625,-114.22625914488,1000,94.3,40,42.23
"DEMO09","Bitterroot core gauge 9",45.947652860675,-113.906684284583,1015,27.9,40,41.16
"DEMO10","Bitterroot core gauge 10",46.0325658459123,-113.57861927107,1139,50.4,40,37.6
"DEMO11","Bitterroot core gauge 11",47.0417055233754,-115.181223002747,1212,131.3,40,42.6
"DEMO12","Bitterroot core gauge 12",45.1934973114543,-114.991913619749,2012,112.9,40,35.75
"DEMO13","Bitterroot core gauge 13",45.8029725361522,-113.335411570147,1738,74.8,40,44.09
"DEMO14","Bitterroot core gauge 14",46.336972490456,-114.979885519408,1440,65.5,40,43.13
"DEMO15","Heavy-tail outlier gauge",46.2,-114,1500,23.7,40,31.67
