facility_id,name_bor,name_nid,state,latitude,longitude,elevation_m_bor,nid_storage_acreft,duration,match_key,coord_shift_km,cohort,band_bound,nid_rank,est_completed_utc,fullT_resolved,n_stations_bor_pre,n_stations_nid,H1_bor_pre,H1_nid,chosen_dist_bor_pre,chosen_dist_nid,depth_nid_T100,depth_bor_pre_T100,depth_bor_post_T100,depth_nid_T10000,depth_bor_pre_T10000,depth_bor_post_T10000,depth_10k_nid_diag,depth_10k_bor_pre_diag,reldiff_T100_vs_pre_pct,reldiff_T10000_vs_pre_pct,reldiff_T100_vs_post_pct,reldiff_T10000_vs_post_pct,reldiff_T10000_diag_vs_pre_pct,scale_ratio_pre,shape_spread_pre_pct,scale_ratio_post,shape_spread_post_pct,exact_all_T_vs_bor_pre
AZ00021,CC CRAGIN,CC CRAGIN,AZ,34.5544,-111.1838,2135,19500,24h,nid_facility_id,0.0,wide_band,True,2105.0,2026-08-12 12:09:51.675000064+00:00,True,48,48,0.55,0.811,GLO,GLO,133.45,132.77,142.49,339.86,337.53,362.22,339.9,337.5,0.5122,0.6903,-6.3443,-6.173,0.7111,1.0053,0.5332,0.9368,0.5257,False
AZ00021,CC CRAGIN,CC CRAGIN,AZ,34.5544,-111.1838,2135,19500,72h,nid_facility_id,0.0,wide_band,True,2105.0,2026-08-12 12:09:51.675000064+00:00,True,48,47,0.291,0.523,GEV,GEV,169.64,168.19,180.73,292.38,292.03,313.81,292.4,292.0,0.8621,0.1199,-6.1362,-6.829,0.137,1.0082,0.9989,0.9382,0.9941,False
AZ10307,GLEN CANYON,GLEN CANYON,AZ,36.9379,-111.4842,1179,29875000,24h,nid_facility_id,0.0,narrow_band,,3.0,,True,45,45,0.881,0.881,GEV,GEV,76.44,76.44,62.56,145.98,145.98,119.48,146.0,146.0,0.0,0.0,22.1867,22.1794,0.0,1.0,0.0,1.2219,0.016,True
AZ10307,GLEN CANYON,GLEN CANYON,AZ,36.9379,-111.4842,1179,29875000,72h,nid_facility_id,0.0,narrow_band,,3.0,,True,46,46,0.802,0.802,GLO,GLO,105.87,105.87,82.2,310.07,310.07,240.72,310.1,310.1,0.0,0.0,28.7956,28.8094,0.0,1.0,0.0,1.2881,0.0139,True
AZ10308,BARTLETT,BARTLETT,AZ,33.8181,-111.6317,588,249693,24h,nid_facility_id,0.0,narrow_band,,399.0,,True,45,45,0.187,0.187,GEV,GEV,123.71,123.71,101.29,205.46,205.46,168.23,205.5,205.5,0.0,0.0,22.1345,22.1304,0.0,1.0,0.0,1.2213,0.0092,True
AZ10308,BARTLETT,BARTLETT,AZ,33.8181,-111.6317,588,249693,72h,nid_facility_id,0.0,narrow_band,,399.0,,True,47,47,0.353,0.353,GEV,GEV,182.81,182.81,143.87,336.66,336.66,264.94,336.7,336.7,0.0,0.0,27.0661,27.0703,0.0,1.0,0.0,1.2707,0.0139,True
AZ10309,DAVIS BOR,DAVIS BOR,AZ,35.1959,-114.57,213,1592300,24h,nid_facility_id,0.0,narrow_band,,88.0,,True,26,26,0.483,0.483,GLO,GLO,106.26,106.26,43.54,286.04,286.04,117.21,286.0,286.0,0.0,0.0,144.0514,144.0406,0.0,1.0,0.0,2.4404,0.0431,True
AZ10309,DAVIS BOR,DAVIS BOR,AZ,35.1959,-114.57,213,1592300,72h,nid_facility_id,0.0,narrow_band,,88.0,,True,26,26,0.916,0.916,GEV,GEV,124.36,124.36,42.82,223.88,223.88,77.08,223.9,223.9,0.0,0.0,190.425,190.4515,0.0,1.0,0.0,2.9046,0.0206,True
AZ10310,HORSESHOE,HORSESHOE,AZ,33.9837,-111.7112,613,214372,24h,nid_facility_id,0.0,narrow_band,,438.0,,False,48,48,-0.192,-0.192,GEV,GEV,,,,,,,212.1,212.1,,,,,0.0,,,,,
AZ10310,HORSESHOE,HORSESHOE,AZ,33.9837,-111.7112,613,214372,72h,nid_facility_id,0.0,narrow_band,,438.0,,False,48,48,0.896,0.896,GEV,GEV,,,,,,,336.4,336.4,,,,,0.0,,,,,
