facility_id,flag,severity,detail
NV10122,ddf_name_collision,WARN,site name 'HOOVER' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MO30014,ddf_name_collision,WARN,site name 'OSAGE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00023,ddf_name_collision,WARN,site name 'SANFORD' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00017,ddf_name_collision,WARN,site name 'WHITNEY LAKE' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX03823,ddf_name_collision,WARN,site name 'LIVINGSTON DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AR00174,ddf_name_collision,WARN,site name 'BEAVER' shared by 5 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TN08903,ddf_name_collision,WARN,site name 'CHEROKEE' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MO30200,ddf_name_collision,WARN,site name 'STOCKTON DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TN15501,ddf_name_collision,WARN,site name 'DOUGLAS' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AL01425,ddf_name_collision,WARN,site name 'MARTIN' shared by 9 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ID00056,ddf_name_collision,WARN,site name 'BROWNLEE' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WA00169,ddf_name_collision,WARN,site name 'ROSS' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR00704,ddf_name_collision,WARN,site name 'BROWNLEE DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WA00266,ddf_name_collision,WARN,site name 'NORTH' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00004,ddf_name_collision,WARN,site name 'CANYON LAKE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00989,ddf_name_collision,WARN,site name 'BUCHANAN DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WY01485,ddf_name_collision,WARN,site name 'GLENDO DIKE NO. 1' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WY01291,ddf_name_collision,WARN,site name 'GLENDO DIKE NO. 1' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX00022,ddf_name_collision,WARN,site name 'TWIN BUTTES' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NC01713,ddf_name_collision,WARN,site name 'FALLS LAKE DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WY01296,ddf_name_collision,WARN,site name 'PATHFINDER DIKE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NE05050,ddf_name_collision,WARN,site name 'GAVINS POINT DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NM00500,ddf_name_collision,WARN,site name 'BRANTLEY' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WY01385,ddf_name_collision,WARN,site name 'JACKSON LAKE' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KS00009,ddf_name_collision,WARN,site name 'PERRY DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
LA00181,ddf_name_collision,WARN,site name 'CADDO DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KS00013,ddf_name_collision,WARN,site name 'WILSON DAM' shared by 5 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA10162,ddf_name_collision,WARN,site name 'LAKE TAHOE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NM00158,ddf_name_collision,WARN,site name 'SANTA ROSA DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ID00283,ddf_name_collision,WARN,site name 'CASCADE' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX02883,ddf_name_collision,WARN,site name 'LAKE ARROWHEAD DAM' shared by 9 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AL07702,ddf_name_collision,WARN,site name 'WILSON' shared by 5 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KS00017,ddf_name_collision,WARN,site name 'CHENEY' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
SD01094,ddf_name_collision,WARN,site name 'GAVINS POINT DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CO01656,ddf_name_collision,WARN,site name 'GRANBY' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX02312,ddf_name_collision,WARN,site name 'RED BLUFF DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TN10506,ddf_name_collision,WARN,site name 'TELLICO' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ID00279,ddf_name_collision,WARN,site name 'ANDERSON RANCH' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
GA00836,ddf_name_collision,WARN,site name 'SINCLAIR' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
NC00419,ddf_name_collision,WARN,site name 'HIWASSEE' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
IN03001,ddf_name_collision,WARN,site name 'MONROE LAKE DAM' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KS00025,ddf_name_collision,WARN,site name 'WEBSTER' shared by 4 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KS00026,ddf_name_collision,WARN,site name 'CLINTON DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OK02504,ddf_name_collision,WARN,site name 'NORMAN' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OR00014,ddf_name_collision,WARN,site name 'HILLS CREEK' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
MN00076,ddf_name_collision,WARN,site name 'DEER LAKE' shared by 8 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OH00426,ddf_name_collision,WARN,site name 'HUFFMAN DAM' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00125,ddf_name_collision,WARN,site name 'CHERRY VALLEY' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WV00701,ddf_name_collision,WARN,site name 'SUTTON DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
WA00257,ddf_name_collision,WARN,site name 'ALDER' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AR00534,ddf_name_collision,WARN,site name 'CARPENTER' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA01224,ddf_name_collision,WARN,site name 'NEW SPICER MEADOW' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
AZ10310,ddf_name_collision,WARN,site name 'HORSESHOE' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
TX01659,ddf_name_collision,WARN,site name 'BRADY LAKE DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
OK00452,ddf_name_collision,WARN,site name 'ELLSWORTH' shared by 3 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
CA00717,ddf_name_collision,WARN,site name 'BUENA VISTA' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
ND00332,ddf_name_collision,WARN,site name 'LAKE DARLING DAM' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
KS00024,ddf_name_collision,WARN,site name 'NORTON' shared by 2 ok facilities; all_facilities_DDF.csv rows for this name cannot be attributed to a single facility
