facility_id,reasons
AK00001,ddf_name_collision;tail_sensitivity_lost_name_collision
AK00002,ddf_name_collision;tail_sensitivity_lost_name_collision
AK00005,ddf_name_collision;tail_sensitivity_lost_name_collision
AK00028,ddf_name_collision;tail_sensitivity_lost_name_collision
AK00044,ddf_name_collision;tail_sensitivity_lost_name_collision
AK00101,ddf_name_collision
AK83013,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00017,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00032,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00039,ddf_name_collision
AL00154,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00197,ddf_name_collision
AL00198,ddf_name_collision
AL00199,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00200,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00218,ddf_name_collision
AL00301,ddf_name_collision
AL00359,ddf_name_collision
AL00444,ddf_name_collision
AL00535,ddf_name_collision
AL00541,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00546,ddf_name_collision
AL00601,ddf_name_collision
AL00713,ddf_name_collision
AL00827,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00835,ddf_name_collision
AL00864,ddf_name_collision
AL00934,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00962,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00976,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00979,ddf_name_collision
AL01023,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01135,ddf_name_collision
AL01138,ddf_name_collision
AL01149,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01150,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01171,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01176,ddf_name_collision
AL01185,ddf_name_collision
AL01267,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01280,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01320,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01417,synthetic_cloud_unauditable
AL01418,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01420,synthetic_cloud_unauditable
AL01423,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01424,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01425,ddf_name_collision;synthetic_cloud_unauditable;tail_sensitivity_lost_name_collision
AL01427,synthetic_cloud_unauditable
AL01432,synthetic_cloud_unauditable
AL01435,synthetic_cloud_unauditable
AL01484,ddf_name_collision;tail_sensitivity_lost_name_collision
AL01526,ddf_name_collision
