facility_id,reasons
AK00001,aux_missing_transition_window;ddf_name_collision;narrow_elevation_band;old_manifest_vintage;tail_sensitivity_lost_name_collision
AK00002,ddf_name_collision;synthetic_purged_rerun_ok;tail_sensitivity_lost_name_collision
AK00005,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AK00028,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AK00033,old_manifest_vintage
AK00044,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AK00051,ok_false
AK00053,ok_false
AK00061,ok_false
AK00064,ok_false
AK00085,narrow_elevation_band;old_manifest_vintage;pre_centralization_no_aux;synthetic_prefix_audited_clean
AK00090,ok_false
AK00091,ok_false
AK00092,ok_false
AK00095,ok_false
AK00101,ddf_name_collision
AK00103,ok_false
AK00106,ok_false
AK00107,ok_false
AK00108,ok_false
AK00109,ok_false
AK00110,ok_false
AK00115,ok_false
AK00116,ok_false
AK00117,ok_false
AK00122,ok_false
AK00123,ok_false
AK00200,ok_false
AK00201,ok_false
AK00260,ok_false
AK00264,ok_false
AK00265,ok_false
AK00266,ok_false
AK83013,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00010,ddf_name_collision;ddf_rowcount_bad
AL00012,ddf_name_collision;ddf_rowcount_bad
AL00013,ddf_name_collision;ddf_rowcount_bad
AL00017,ddf_name_collision;synthetic_purged_rerun_ok;tail_sensitivity_lost_name_collision
AL00032,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL00039,ddf_name_collision;ddf_rowcount_bad
AL00054,ddf_name_collision;ddf_rowcount_bad
AL00057,ddf_name_collision;ddf_rowcount_bad
AL00066,ddf_name_collision;ddf_rowcount_bad
AL00093,ddf_name_collision;ddf_rowcount_bad
AL00095,ddf_name_collision;ddf_rowcount_bad
AL00096,ddf_name_collision;ddf_rowcount_bad
AL00098,ddf_name_collision;ddf_rowcount_bad
AL00111,ddf_name_collision;ddf_rowcount_bad
AL00112,ddf_name_collision;ddf_rowcount_bad
AL00113,ddf_name_collision;ddf_rowcount_bad
AL00115,ddf_name_collision;ddf_rowcount_bad
AL00119,ddf_name_collision;ddf_rowcount_bad
AL00124,ddf_name_collision;ddf_rowcount_bad
AL00130,ddf_name_collision;ddf_rowcount_bad
AL00134,ddf_name_collision;ddf_rowcount_bad
AL00135,ddf_name_collision;ddf_rowcount_bad
AL00154,ddf_name_collision;ddf_rowcount_bad;tail_sensitivity_lost_name_collision
AL00186,ddf_name_collision;ddf_rowcount_bad
AL00190,ddf_name_collision;ddf_rowcount_bad
AL00196,ddf_name_collision;ddf_rowcount_bad
AL00197,ddf_name_collision
AL00198,ddf_name_collision
AL00199,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00200,ddf_name_collision;tail_sensitivity_lost_name_collision
AL00201,ddf_name_collision;ddf_rowcount_bad
AL00202,ddf_name_collision;ddf_rowcount_bad
AL00206,ddf_name_collision;ddf_rowcount_bad
AL00209,ddf_name_collision;ddf_rowcount_bad
AL00210,ddf_name_collision;ddf_rowcount_bad
AL00216,ddf_name_collision;ddf_rowcount_bad
AL00217,ddf_name_collision;ddf_rowcount_bad
AL00218,ddf_name_collision;ddf_rowcount_bad
AL00228,ddf_name_collision;ddf_rowcount_bad
AL00234,ddf_name_collision;ddf_rowcount_bad
