facility_id,duration,flag,severity,detail
TX07183,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 21.6%)
KS07864,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 7.1%)
TX03924,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 25.6%)
WY00141,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 28.7%)
TX03643,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.8%)
CT00582,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 8.3%)
MO30574,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 17.5%)
WA00112,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 13.6%)
PA00828,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 27.3%)
MI00501,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 27.9%)
ND00449,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.0%)
VT00251,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 16.8%)
PA00404,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 6.0%)
NE01613,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 8.4%)
NE02806,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.3%)
IA01378,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.1%)
CO00168,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 4.3%)
VA00305,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 6.5%)
MN00362,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.0%)
CO00762,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 5.4%)
MI00495,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 29.0%)
NE01252,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 2.7%)
NY00738,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 8.2%)
WA00314,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.7%)
MO20784,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 2.3%)
NY01157,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 4.8%)
PA00112,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 37.6%)
PA00113,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 36.6%)
PA00114,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 36.6%)
PA00115,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 36.8%)
PA00116,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 37.5%)
PA00117,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 37.3%)
PA00118,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 36.7%)
PA00119,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 37.8%)
PA00526,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 23.6%)
IN00391,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 4.0%)
CA00289,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 22.6%)
WI00011,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.8%)
OH00931,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 28.2%)
OH02905,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 27.4%)
OH03129,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 27.4%)
MI00521,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 20.9%)
IA02958,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 4.8%)
TX05314,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 27.3%)
NY00045,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 18.8%)
VA00701,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 4.9%)
WI00172,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 13.3%)
SD00326,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 4.7%)
WI00449,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 34.6%)
IN04018,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 30.7%)
CO01828,both,dur72_lt_dur24,FAIL,72h < 24h from T=200 (6 of 12 T values; max deficit 36.3%)
IA01305,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 6.6%)
ME00434,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 5.2%)
MN00337,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 10.6%)
VA04110,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 16.8%)
TX07079,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.6%)
MO50115,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 13.5%)
SD01099,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 2.4%)
MN00401,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.6%)
NE00184,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.5%)
OR00122,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 28.9%)
NE00793,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 4.3%)
NE00795,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 4.9%)
NE00794,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 3.5%)
KS02544,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 9.8%)
ND00201,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 21.9%)
TX07178,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 21.8%)
TX05447,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 19.3%)
IA00092,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.9%)
ND00339,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.5%)
WI00027,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 16.4%)
NJ00318,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 29.3%)
TX05793,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.6%)
TX06481,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.6%)
TX08004,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 5.4%)
MI00559,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 34.8%)
MS01496,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 5.4%)
ND00008,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 30.2%)
MI00493,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 23.6%)
AR00896,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 30.8%)
NE00588,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 2.3%)
OH00409,both,dur72_lt_dur24,FAIL,72h < 24h from T=200 (6 of 12 T values; max deficit 38.0%)
ND00320,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.5%)
ND00798,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 2.0%)
NY00490,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 23.9%)
VA04147,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 2.1%)
MO30784,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 15.5%)
MO30783,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 15.1%)
VA04165,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 12.3%)
MT01163,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.0%)
MO31857,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 14.6%)
MA01248,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 10.5%)
MA00679,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 14.4%)
TX03473,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 1.1%)
KS00180,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 2.2%)
WY01549,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 20.6%)
WI00173,both,dur72_lt_dur24,FAIL,72h < 24h from T=200 (6 of 12 T values; max deficit 38.1%)
MI00588,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 29.3%)
OH00006,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 32.4%)
CA00680,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 23.3%)
CT05000,both,dur72_lt_dur24,FAIL,72h < 24h from T=5000 (2 of 12 T values; max deficit 8.9%)
VA14534,both,dur72_lt_dur24,FAIL,72h < 24h from T=1000 (4 of 12 T values; max deficit 14.7%)
VA10108,both,dur72_lt_dur24,FAIL,72h < 24h from T=2000 (3 of 12 T values; max deficit 9.6%)
TX04989,both,dur72_lt_dur24,FAIL,72h < 24h from T=10000 (1 of 12 T values; max deficit 0.1%)
MN00302,both,dur72_lt_dur24,FAIL,72h < 24h from T=500 (5 of 12 T values; max deficit 30.6%)
